product_name,product_price,category_name,product_img,size_s,color_name
AUTHENTIC NEW ERA CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311038_HUNT_1.jpg?v=1683148546&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311038-authentic-new-era-cap-hunt
NO. 4 POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311064_BLAC_1_23e007fc-e401-41f8-aff8-8e47189eb25c.jpg?v=1683049823&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311064-no-4-point-crown-cap-blac
NO. 4 POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311064_WHIT_1_dd5ad532-cb98-46cc-968a-e084eb4ad94c.jpg?v=1683049825&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311064-no-4-point-crown-cap-whit
BIG STOCK HIGH CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311062_MUST_1.jpg?v=1683049819&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311062-big-stock-high-crown-cap-must
BIG STOCK HIGH CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311062_DEER_1_738da2e6-b69f-45ed-874e-9822e79aa661.jpg?v=1683049812&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311062-big-stock-high-crown-cap-deer
BASIC STOCK LOW PRO CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311070_NATL_1_26777a4f-5ed0-4a9e-a8b5-0c1b6c7dd608.jpg?v=1683148515&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311070-basic-stock-low-pro-cap-natl
BASIC STRAPBACK CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311104_DORA_1_937dfb59-8160-4b99-8ef0-bb23c5c4c168.jpg?v=1683049992&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311104-basic-strapback-cap-dora
STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321023_NATL_1.jpg?v=1683050098&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321023-stock-bucket-hat-natl
STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321023_BLAC_1.jpg?v=1683050093&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321023-stock-bucket-hat-blac
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321132_WHIT_1.jpg?v=1683148469&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321132-big-stock-bucket-hat-whit
