product_name,product_price,category_name,product_img,size_s,size_m,size_l,size_xl,size_xxl,color_name
CANVAS WORK PANT,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116496_BLAC_1_e6c0304b-e7bc-46ad-8b5c-d40f362691d0.jpg?v=1683148670&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116496-canvas-work-pant-blac
DENIM WORK PANT,216000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116482_BLUE_1.jpg?v=1683148666&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/denim-work-pant-1
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_WINE_1_ea7c488a-b22c-4824-92f5-ae249b17fae0.jpg?v=1683049290&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-wine
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_BONE_1.jpg?v=1683148652&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-bone
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_SAGE_1_084d882d-2793-436b-9715-9fcec9bc4d32.jpg?v=1683049290&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-sage
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_BLAC_1.jpg?v=1683148658&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-blac
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_NAVY_1.jpg?v=1683148655&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-navy
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_RUST_1_42444af2-0c8a-4292-bcdb-c73f0032cd49.jpg?v=1683049288&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-rust
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_ROYL_1.jpg?v=1683049286&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-royl
BRUSHED BEACH PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116553_BOLV_1.jpg?v=1683049282&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116553-brushed-beach-pant-bolv
TWILL VOLUME PLEATED TROUSER,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116587_BLAC_1_9d23f305-250b-4553-affc-90693691f1d8.jpg?v=1683049306&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116587-twill-volume-pleated-trouser-blac
TWILL VOLUME PLEATED TROUSER,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116587_BONE_1_65fe4ac0-b2d4-49f4-8b82-57b2c46096ea.jpg?v=1683049308&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116587-twill-volume-pleated-trouser-bone
STRIPED VOLUME PLEATED TROUSER,220000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116538_LBRW_1.jpg?v=1683049267&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116538-striped-volume-pleated-trouser-lbrw
STRIPED VOLUME PLEATED TROUSER,220000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116538_GREY_1_5020f85c-6118-414a-9eb2-4c211b2b7c97.jpg?v=1683148665&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116538-striped-volume-pleated-trouser-grey
VOLUME PLEATED TROUSER,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116537_GREY_1_259ae1bf-8240-4b1e-8ee3-f9b094b2cabe.jpg?v=1683049265&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116537-volume-pleated-trouser-grey
VOLUME PLEATED TROUSER,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116537_NAVY_1.jpg?v=1683049266&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116537-volume-pleated-trouser-navy
VOLUME PLEATED TROUSER,226000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116537_BLAC_1_59a67db0-866b-4955-b933-3650d6a02252.jpg?v=1683049264&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116537-volume-pleated-trouser-blac
DENIM DOUBLE KNEE PANT,200000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116500_STWA_1_18b8158c-775f-4c8f-a928-1a1e9774d48a.jpg?v=1683049263&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116500-denim-double-knee-pant-stwa
OVERDYED BIG OL' JEAN,249000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116577_BLAC_1.jpg?v=1683049290&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116577-over-dyed-big-ol-jean-blac
OVERDYED BIG OL' JEAN,249000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116577_BONE_1.jpg?v=1683049292&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116577-over-dyed-big-ol-jean-bone
OVERDYED CLASSIC JEAN,249000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116596_BLAC_2_15ebe323-67ca-4399-9969-6ca49f92ea2e.jpg?v=1683069087&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116596-overdyed-classic-jeans-blac
OVERDYED CLASSIC JEAN,249000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116596_BONE_2_1d963e7b-60e3-431c-92f7-4a8fbaabaff7.jpg?v=1683069071&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116596-overdyed-classic-jeans-bone
